State,Year,Quarter,District,Registered_users,App_opens,Region
tamil-nadu,2019,2,Perambalur ,32787,111749,Southern Region
tamil-nadu,2019,2,Coimbatore ,584160,2460549,Southern Region
tamil-nadu,2019,2,Virudhunagar ,104054,348430,Southern Region
tamil-nadu,2019,2,Dindigul ,131833,509924,Southern Region
tamil-nadu,2019,2,Sivaganga ,69744,264125,Southern Region
tamil-nadu,2019,2,Tenkasi ,59877,196035,Southern Region
tamil-nadu,2019,2,Chengalpattu ,667137,4350196,Southern Region
tamil-nadu,2019,2,Kanniyakumari ,106688,357168,Southern Region
tamil-nadu,2019,2,Tirunelveli ,102281,349486,Southern Region
tamil-nadu,2019,2,Thiruvallur ,733978,3676621,Southern Region
tamil-nadu,2019,2,Theni ,71870,254448,Southern Region
tamil-nadu,2019,2,Ranipet ,109648,471102,Southern Region
tamil-nadu,2019,2,Namakkal ,131560,435958,Southern Region
tamil-nadu,2019,2,Vellore ,150242,706719,Southern Region
tamil-nadu,2019,2,Thiruvarur ,47988,166776,Southern Region
tamil-nadu,2019,3,Tiruchirappalli ,261919,3188576,Southern Region
tamil-nadu,2019,3,Ramanathapuram ,68938,742215,Southern Region
tamil-nadu,2019,3,Krishnagiri ,290478,4362654,Southern Region
tamil-nadu,2019,3,Cuddalore ,187772,1968965,Southern Region
tamil-nadu,2019,3,Kancheepuram ,503192,9099325,Southern Region
tamil-nadu,2019,3,Tiruppur ,371296,5086753,Southern Region
tamil-nadu,2019,3,Dharmapuri ,149491,1988881,Southern Region
tamil-nadu,2019,3,Thoothukkudi ,112797,1169932,Southern Region
tamil-nadu,2019,3,Thanjavur ,156723,1899755,Southern Region
tamil-nadu,2019,3,Madurai ,305793,3683037,Southern Region
tamil-nadu,2019,3,Tiruvannamalai ,174910,2027981,Southern Region
tamil-nadu,2019,3,Salem ,342259,3940685,Southern Region
tamil-nadu,2019,3,Nagapattinam ,75279,792031,Southern Region
tamil-nadu,2019,3,Tirupathur ,110825,1372746,Southern Region
tamil-nadu,2019,3,Ariyalur ,44894,492736,Southern Region
tamil-nadu,2019,3,Chennai ,1090190,18954685,Southern Region
tamil-nadu,2019,3,The Nilgiris ,59223,743196,Southern Region
tamil-nadu,2019,3,Erode ,210555,2276841,Southern Region
tamil-nadu,2019,3,Karur ,78089,822025,Southern Region
tamil-nadu,2019,3,Kallakkurichi ,101377,1058365,Southern Region
tamil-nadu,2019,3,Viluppuram ,135787,1636429,Southern Region
tamil-nadu,2019,3,Pudukkottai ,76291,853544,Southern Region
tamil-nadu,2019,3,Perambalur ,37320,386355,Southern Region
tamil-nadu,2019,3,Coimbatore ,669547,9707815,Southern Region
tamil-nadu,2019,3,Virudhunagar ,118223,1273205,Southern Region
tamil-nadu,2019,3,Dindigul ,151511,1791979,Southern Region
tamil-nadu,2019,3,Sivaganga ,79695,896599,Southern Region
tamil-nadu,2019,3,Tenkasi ,68561,651705,Southern Region
tamil-nadu,2019,3,Chengalpattu ,744424,18193512,Southern Region
tamil-nadu,2019,3,Kanniyakumari ,125378,1266941,Southern Region
tamil-nadu,2019,3,Tirunelveli ,117255,1175307,Southern Region
tamil-nadu,2019,3,Thiruvallur ,828137,13735986,Southern Region
tamil-nadu,2019,3,Theni ,82211,845240,Southern Region
tamil-nadu,2019,3,Ranipet ,123211,1585562,Southern Region
tamil-nadu,2019,3,Namakkal ,148504,1602205,Southern Region
tamil-nadu,2019,3,Vellore ,171770,2853368,Southern Region
tamil-nadu,2019,3,Thiruvarur ,55010,563206,Southern Region
tamil-nadu,2019,4,Tiruchirappalli ,299366,4026588,Southern Region
tamil-nadu,2019,4,Ramanathapuram ,80027,961831,Southern Region
tamil-nadu,2019,4,Krishnagiri ,335178,5693842,Southern Region
tamil-nadu,2019,4,Cuddalore ,216583,2459744,Southern Region
tamil-nadu,2019,4,Kancheepuram ,564806,11050988,Southern Region
tamil-nadu,2019,4,Tiruppur ,427694,6111411,Southern Region
tamil-nadu,2019,4,Dharmapuri ,171677,2525020,Southern Region
tamil-nadu,2019,4,Thoothukkudi ,131336,1491277,Southern Region
tamil-nadu,2019,4,Thanjavur ,181672,2336862,Southern Region
tamil-nadu,2019,4,Madurai ,351234,4634811,Southern Region
