State,Year,Quarter,District,Registered_users,Region
telangana,2021,4,karimnagar,559456,Southern Region
telangana,2021,4,bhadradri kothagudem,438017,Southern Region
telangana,2020,1,hyderabad,2483843,Southern Region
telangana,2020,1,rangareddy,2166829,Southern Region
telangana,2020,1,medchal malkajgiri,1845599,Southern Region
telangana,2020,1,sangareddy,542540,Southern Region
telangana,2020,1,warangal urban,457591,Southern Region
telangana,2020,1,nalgonda,351793,Southern Region
telangana,2020,1,khammam,340747,Southern Region
telangana,2020,1,karimnagar,334300,Southern Region
telangana,2020,1,nizamabad,320572,Southern Region
telangana,2020,1,siddipet,245168,Southern Region
telangana,2020,2,hyderabad,2653534,Southern Region
telangana,2020,2,rangareddy,2313748,Southern Region
telangana,2020,2,medchal malkajgiri,1963353,Southern Region
telangana,2020,2,sangareddy,593360,Southern Region
telangana,2020,2,warangal urban,495066,Southern Region
telangana,2020,2,nalgonda,393199,Southern Region
telangana,2020,2,khammam,380382,Southern Region
telangana,2020,2,karimnagar,362986,Southern Region
telangana,2020,2,nizamabad,362663,Southern Region
telangana,2020,2,siddipet,269076,Southern Region
telangana,2020,3,hyderabad,2875965,Southern Region
telangana,2020,3,rangareddy,2495699,Southern Region
telangana,2020,3,medchal malkajgiri,2111567,Southern Region
telangana,2020,3,sangareddy,649580,Southern Region
telangana,2020,3,warangal urban,535485,Southern Region
telangana,2020,3,nalgonda,435022,Southern Region
telangana,2020,3,khammam,421101,Southern Region
telangana,2020,3,nizamabad,405678,Southern Region
telangana,2020,3,karimnagar,394328,Southern Region
telangana,2020,3,bhadradri kothagudem,297785,Southern Region
telangana,2020,4,hyderabad,3142385,Southern Region
telangana,2020,4,rangareddy,2704868,Southern Region
telangana,2020,4,medchal malkajgiri,2282695,Southern Region
telangana,2020,4,sangareddy,711551,Southern Region
telangana,2020,4,warangal urban,579306,Southern Region
telangana,2020,4,nalgonda,478409,Southern Region
telangana,2020,4,khammam,461801,Southern Region
telangana,2020,4,nizamabad,449731,Southern Region
telangana,2020,4,karimnagar,428019,Southern Region
telangana,2020,4,bhadradri kothagudem,328326,Southern Region
telangana,2018,1,hyderabad,655175,Southern Region
telangana,2018,1,rangareddy,635175,Southern Region
telangana,2018,1,medchal malkajgiri,549429,Southern Region
telangana,2018,1,sangareddy,142807,Southern Region
telangana,2018,1,warangal urban,133840,Southern Region
telangana,2018,1,karimnagar,100028,Southern Region
telangana,2018,1,khammam,84941,Southern Region
telangana,2018,1,nalgonda,84459,Southern Region
telangana,2018,1,nizamabad,77516,Southern Region
telangana,2018,1,peddapalle,67418,Southern Region
telangana,2018,2,hyderabad,842483,Southern Region
telangana,2018,2,rangareddy,804959,Southern Region
telangana,2018,2,medchal malkajgiri,696211,Southern Region
telangana,2018,2,sangareddy,182673,Southern Region
telangana,2018,2,warangal urban,171260,Southern Region
telangana,2018,2,karimnagar,126122,Southern Region
telangana,2018,2,khammam,111361,Southern Region
telangana,2018,2,nalgonda,110668,Southern Region
telangana,2018,2,nizamabad,100652,Southern Region
telangana,2018,2,peddapalle,86033,Southern Region
telangana,2018,3,hyderabad,1024241,Southern Region
telangana,2018,3,rangareddy,963186,Southern Region
telangana,2018,3,medchal malkajgiri,828425,Southern Region
telangana,2018,3,sangareddy,220802,Southern Region
telangana,2018,3,warangal urban,199919,Southern Region
telangana,2018,3,karimnagar,148562,Southern Region
telangana,2018,3,khammam,135353,Southern Region
telangana,2018,3,nalgonda,134723,Southern Region
telangana,2018,3,nizamabad,120650,Southern Region
telangana,2018,3,peddapalle,102365,Southern Region
telangana,2018,4,hyderabad,1336872,Southern Region
telangana,2018,4,rangareddy,1217664,Southern Region
telangana,2018,4,medchal malkajgiri,1056739,Southern Region
telangana,2018,4,sangareddy,281038,Southern Region
telangana,2018,4,warangal urban,249500,Southern Region
telangana,2018,4,karimnagar,182600,Southern Region
telangana,2018,4,nalgonda,171002,Southern Region
telangana,2018,4,khammam,168485,Southern Region
telangana,2018,4,nizamabad,150190,Southern Region
telangana,2018,4,peddapalle,124191,Southern Region
manipur,2022,1,imphal west,125131,North Central Region
manipur,2022,1,imphal east,81134,North Central Region
manipur,2022,1,thoubal,38088,North Central Region
manipur,2022,1,bishnupur,36514,North Central Region
manipur,2022,1,churachandpur,31533,North Central Region
manipur,2022,1,kangpokpi,25589,North Central Region
manipur,2022,1,kakching,17014,North Central Region
manipur,2022,1,ukhrul,12728,North Central Region
manipur,2022,1,tamenglong,10719,North Central Region
manipur,2022,1,chandel,8724,North Central Region
manipur,2022,2,imphal west,131901,North Central Region
manipur,2022,2,imphal east,85559,North Central Region
manipur,2022,2,thoubal,40196,North Central Region
manipur,2022,2,bishnupur,38512,North Central Region
manipur,2022,2,churachandpur,33293,North Central Region
manipur,2022,2,kangpokpi,27002,North Central Region
manipur,2022,2,kakching,18011,North Central Region
manipur,2022,2,ukhrul,13435,North Central Region
manipur,2022,2,tamenglong,11310,North Central Region
manipur,2022,2,chandel,9201,North Central Region
manipur,2022,3,imphal west,138892,North Central Region
manipur,2022,3,imphal east,90100,North Central Region
manipur,2022,3,thoubal,42321,North Central Region
manipur,2022,3,bishnupur,40486,North Central Region
manipur,2022,3,churachandpur,35081,North Central Region
manipur,2022,3,kangpokpi,28377,North Central Region
manipur,2022,3,kakching,18979,North Central Region
manipur,2022,3,ukhrul,14002,North Central Region
manipur,2022,3,tamenglong,11830,North Central Region
manipur,2022,3,chandel,9647,North Central Region
manipur,2022,4,imphal west,145422,North Central Region
